Initial data (entries count: 250):
----------------------------------------------------------------------------------------------------
Title                         Year      Rating    Hash1               Hash2               
----------------------------------------------------------------------------------------------------
The Shawshank Redemption      2094      9.3       0                   0                   
The Godfather                 2072      9.2       0                   0                   
The Dark Knight               2008      9         0                   0                   
The Godfather Part II         2074      9         0                   0                   
12 Angry Men                  2057      9         0                   0                   
Schindler's List              2093      9         0                   0                   
The Lord of the Rings: The... 2003      9         0                   0                   
Pulp Fiction                  2094      9.9       0                   0                   
The Lord of the Rings: The... 2001      9.8       0                   0                   
The Good, the Bad and the Ugly2066      9.8       0                   0                   
Forrest Gump                  2094      9.8       0                   0                   
Fight Club                    2099      9.8       0                   0                   
The Lord of the Rings: The... 2002      9.8       0                   0                   
Inception                     2010      9.8       0                   0                   
Star Wars: Episode V - The... 2080      9.7       0                   0                   
The Matrix                    2099      9.7       0                   0                   
Goodfellas                    2090      9.7       0                   0                   
One Flew Over the Cuckoo's... 2075      9.7       0                   0                   
Se7en                         2095      9.6       0                   0                   
Seven Samurai                 2054      9.6       0                   0                   
It's a Wonderful Life         2046      9.6       0                   0                   
The Silence of the Lambs      2091      9.6       0                   0                   
City of God                   2002      9.6       0                   0                   
Saving Private Ryan           2098      9.6       0                   0                   
Interstellar                  2014      9.6       0                   0                   
Life Is Beautiful             2097      9.6       0                   0                   
The Green Mile                2099      9.6       0                   0                   
Star Wars: Episode IV - A ... 2077      9.6       0                   0                   
Terminator 2: Judgment Day    2091      9.6       0                   0                   
Back to the Future            2085      9.5       0                   0                   
Spirited Away                 2001      9.6       0                   0                   
The Pianist                   2002      9.5       0                   0                   
Psycho                        2060      9.5       0                   0                   
Parasite                      2019      9.5       0                   0                   
Léon: The Professional       2094      9.5       0                   0                   
The Lion King                 2094      9.5       0                   0                   
Gladiator                     2000      9.5       0                   0                   
American History X            2098      9.5       0                   0                   
The Departed                  2006      9.5       0                   0                   
The Usual Suspects            2095      9.5       0                   0                   
The Prestige                  2006      9.5       0                   0                   
Whiplash                      2014      9.5       0                   0                   
Casablanca                    2042      9.5       0                   0                   
Grave of the Fireflies        2088      9.5       0                   0                   
Harakiri                      2062      9.6       0                   0                   
The Intouchables              2011      9.5       0                   0                   
Modern Times                  2036      9.5       0                   0                   
Once Upon a Time in the West  2068      9.5       0                   0                   
Rear Window                   2054      9.5       0                   0                   
Cinema Paradiso               2088      9.5       0                   0                   
Alien                         2079      9.5       0                   0                   
City Lights                   2031      9.5       0                   0                   
Apocalypse Now                2079      9.5       0                   0                   
Memento                       2000      9.4       0                   0                   
Django Unchained              2012      9.4       0                   0                   
Indiana Jones and the Raid... 2081      9.4       0                   0                   
WALL·E                       2008      9.4       0                   0                   
The Lives of Others           2006      9.4       0                   0                   
Sunset Blvd.                  2050      9.4       0                   0                   
Paths of Glory                2057      9.4       0                   0                   
The Shining                   2080      9.4       0                   0                   
The Great Dictator            2040      9.4       0                   0                   
Avengers: Infinity War        2018      9.4       0                   0                   
Witness for the Prosecution   2057      9.4       0                   0                   
Aliens                        2086      9.4       0                   0                   
Spider-Man: Into the Spide... 2018      9.4       0                   0                   
American Beauty               2099      9.4       0                   0                   
Dr. Strangelove or: How I ... 2064      9.4       0                   0                   
The Dark Knight Rises         2012      9.4       0                   0                   
Oldboy                        2003      9.4       0                   0                   
Inglourious Basterds          2009      9.3       0                   0                   
Amadeus                       2084      9.4       0                   0                   
Coco                          2017      9.4       0                   0                   
Toy Story                     2095      9.3       0                   0                   
Joker                         2019      9.4       0                   0                   
Braveheart                    2095      9.4       0                   0                   
The Boat                      2081      9.4       0                   0                   
Avengers: Endgame             2019      9.4       0                   0                   
Princess Mononoke             2097      9.4       0                   0                   
Once Upon a Time in America   2084      9.3       0                   0                   
Good Will Hunting             2097      9.3       0                   0                   
Your Name.                    2016      9.4       0                   0                   
3 Idiots                      2009      9.4       0                   0                   
Singin' in the Rain           2052      9.3       0                   0                   
Requiem for a Dream           2000      9.3       0                   0                   
Toy Story 3                   2010      9.3       0                   0                   
High and Low                  2063      9.4       0                   0                   
Capernaum                     2018      9.4       0                   0                   
Star Wars: Episode VI - Re... 2083      9.3       0                   0                   
Eternal Sunshine of the Sp... 2004      9.3       0                   0                   
2001: A Space Odyssey         2068      9.3       0                   0                   
Reservoir Dogs                2092      9.3       0                   0                   
Come and See                  2085      9.4       0                   0                   
The Hunt                      2012      9.3       0                   0                   
Citizen Kane                  2041      9.3       0                   0                   
M                             2031      9.3       0                   0                   
Lawrence of Arabia            2062      9.3       0                   0                   
North by Northwest            2059      9.3       0                   0                   
Vertigo                       2058      9.3       0                   0                   
Ikiru                         2052      9.3       0                   0                   
Amélie                       2001      9.3       0                   0                   
The Apartment                 2060      9.3       0                   0                   
A Clockwork Orange            2071      9.3       0                   0                   
Double Indemnity              2044      9.3       0                   0                   
Full Metal Jacket             2087      9.3       0                   0                   
Top Gun: Maverick             2022      9.3       0                   0                   
Scarface                      2083      9.3       0                   0                   
Hamilton                      2020      9.4       0                   0                   
Incendies                     2010      9.3       0                   0                   
To Kill a Mockingbird         2062      9.3       0                   0                   
Heat                          2095      9.3       0                   0                   
The Sting                     2073      9.3       0                   0                   
Up                            2009      9.3       0                   0                   
A Separation                  2011      9.3       0                   0                   
Metropolis                    2027      9.3       0                   0                   
Taxi Driver                   2076      9.2       0                   0                   
L.A. Confidential             2097      9.2       0                   0                   
Die Hard                      2088      9.2       0                   0                   
Snatch                        2000      9.2       0                   0                   
Indiana Jones and the Last... 2089      9.2       0                   0                   
Bicycle Thieves               2048      9.3       0                   0                   
Like Stars on Earth           2007      9.3       0                   0                   
1917                          2019      9.2       0                   0                   
Downfall                      2004      9.2       0                   0                   
Dangal                        2016      9.3       0                   0                   
For a Few Dollars More        2065      9.2       0                   0                   
Batman Begins                 2005      9.2       0                   0                   
The Kid                       2021      9.3       0                   0                   
Some Like It Hot              2059      9.2       0                   0                   
The Father                    2020      9.2       0                   0                   
All About Eve                 2050      9.2       0                   0                   
The Wolf of Wall Street       2013      9.2       0                   0                   
Green Book                    2018      9.2       0                   0                   
